Time	HighH	HighM	HighL	MiddleH	MiddleM	MiddleL	LowH	LowM	LowL	Tot
57600.0000	236.6000	113.6667	60.1333	61.9328	31.0645	15.5025	15.3835	7.4007	3.2978	8.4957
59400.0000	247.6000	119.2222	63.0000	62.0000	31.1696	15.4444	15.3931	7.4225	3.3008	8.5092
61203.0000	254.2000	127.0000	63.9333	62.1761	31.1255	15.4812	15.4079	7.4313	3.3117	8.5246
63000.0000	254.8000	127.7778	60.4375	61.9726	31.1555	15.5160	15.3925	7.4529	3.3207	8.5232
64800.0000	255.0000	115.9000	63.3125	61.9007	31.2776	15.5255	15.4545	7.4539	3.3292	8.5411
66600.0000	226.1667	127.1000	60.7647	62.2581	31.1912	15.5539	15.4848	7.4672	3.3375	8.5674
68405.0000	246.6667	127.9000	59.5556	61.9937	31.1938	15.4770	15.4370	7.4775	3.3370	8.5609
70204.0000	254.3333	127.9000	62.3889	62.1472	31.0830	15.5784	15.4811	7.4884	3.3448	8.5783
72000.0000	255.0000	117.0909	62.5789	61.4762	31.2620	15.6275	15.4833	7.4948	3.3523	8.5795
73800.0000	255.0000	126.6364	61.1500	61.8547	30.9677	15.5875	15.5207	7.5052	3.3600	8.5909
75606.0000	218.5714	127.9091	63.4500	61.8977	31.1895	15.5852	15.5216	7.5084	3.3677	8.5944
77408.0000	233.8571	127.9091	60.8571	62.2056	31.1945	15.5860	15.5161	7.5270	3.3720	8.6069
79203.0000	248.8571	119.7500	63.4286	62.7609	31.2910	15.6094	15.5547	7.5307	3.3749	8.6285
81001.0000	254.4286	127.9167	61.0455	62.3016	31.2026	15.5742	15.5520	7.5465	3.3884	8.6348
82800.0000	255.1429	127.9167	63.1364	62.3472	31.1885	15.5976	15.5538	7.5435	3.3943	8.6351
84602.0000	255.1429	118.1538	63.8636	62.4772	31.2665	15.6379	15.5729	7.5642	3.4026	8.6446



Time	HighH	HighM	HighL	MiddleH	MiddleM	MiddleL	LowH	LowM	LowL	Tot
40.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1800.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	856.0000	529.5000	418.0000	583.2500
3602.0000	0.0000	0.0000	0.0000	2015.0000	0.0000	0.0000	1382.5000	1333.2222	1233.0000	1350.3182
5400.0000	0.0000	0.0000	0.0000	2015.0000	2788.6000	0.0000	2365.5714	1759.3125	1610.0909	2019.9149
7200.0000	0.0000	0.0000	0.0000	2706.5000	3026.7500	3084.0000	2832.5417	2030.6842	2750.5000	2662.3103
9000.0000	0.0000	0.0000	0.0000	2899.2222	3582.3333	3075.5000	3443.0000	2901.9333	2909.6341	3118.0559
10800.0000	0.0000	3978.0000	0.0000	4197.6154	3647.6471	3972.5714	4361.4483	3808.9423	3580.1000	3903.5216
12600.0000	1404.0000	3978.0000	0.0000	4189.4375	3860.7000	4042.5000	5013.6118	4363.4853	4215.7053	4416.9808
14406.0000	1404.0000	3978.0000	0.0000	4103.1500	3731.3333	4410.3214	5509.2736	4829.4565	4443.9813	4768.8590
16205.0000	1404.0000	3978.0000	10599.0000	4263.1304	3649.9259	4443.2564	5983.5149	5507.5833	5192.2071	5299.3374
18010.0000	1404.0000	3807.5000	6337.5000	4607.4643	4111.1613	5331.0652	6388.8848	6246.9538	5970.2697	5944.0495
19808.0000	1404.0000	3807.5000	6337.5000	4499.0667	5003.5676	6739.2333	6646.9010	6656.1902	6295.7811	6373.0521
21607.0000	1404.0000	3807.5000	7085.0000	5069.3611	5394.7619	6961.2500	7077.1145	7076.3045	7088.2988	6893.9134
23406.0000	1279.5000	3807.5000	8159.8000	5028.2308	5529.5111	6920.8916	7420.2831	7462.7836	7516.8828	7225.2237
25202.0000	1279.5000	3807.5000	7220.3333	5054.0889	6102.4118	7175.2500	7718.1048	8064.8153	8196.1843	7712.3631
27009.0000	1279.5000	3807.5000	7220.3333	5060.9149	6064.0000	7134.6947	8171.7239	8648.7898	8605.6587	8127.3533
28806.0000	1279.5000	5599.3333	7220.3333	5382.1600	6929.9394	7539.9245	8449.3573	8834.4255	9026.8716	8470.6472
30608.0000	1279.5000	5599.3333	7220.3333	5499.4906	7637.1918	7594.5826	8727.5261	9373.2879	9514.5703	8889.8005
32402.0000	1279.5000	5599.3333	7220.3333	5411.0702	8139.5000	7612.7840	8970.9558	9896.0239	10020.9604	9287.8166
34204.0000	1279.5000	4584.2500	7220.3333	5402.0317	8415.6364	8360.7197	9237.9749	10351.3949	10633.1138	9739.7913
