Time			Type			Success
63000.0000			MiddleH			0.8904
63000.0000			MiddleM			0.8445
63000.0000			MiddleL			0.7374
63000.0000			LowH			0.7106
63000.0000			LowM			0.5253
63000.0000			LowL			0.3366
63000.0000			tot			0.4828
64800.0000			HighH			1.0000
64800.0000			HighM			0.9000
64800.0000			HighL			0.9375
64800.0000			MiddleH			0.8742
64800.0000			MiddleM			0.8490
64800.0000			MiddleL			0.7406
64800.0000			LowH			0.7191
64800.0000			LowM			0.5319
64800.0000			LowL			0.3438
64800.0000			tot			0.4896
66600.0000			HighH			1.0000
66600.0000			HighM			0.9000
66600.0000			HighL			0.8824
66600.0000			MiddleH			0.8903
66600.0000			MiddleM			0.8566
66600.0000			MiddleL			0.7522
66600.0000			LowH			0.7256
66600.0000			LowM			0.5399
66600.0000			LowL			0.3500
66600.0000			tot			0.4967
68405.0000			HighH			1.0000
68405.0000			HighM			1.0000
68405.0000			HighL			0.8333
68405.0000			MiddleH			0.8868
68405.0000			MiddleM			0.8527
68405.0000			MiddleL			0.7594
68405.0000			LowH			0.7346
68405.0000			LowM			0.5476
68405.0000			LowL			0.3554
68405.0000			tot			0.5030
70204.0000			HighH			1.0000
70204.0000			HighM			1.0000
70204.0000			HighL			0.8889
70204.0000			MiddleH			0.8896
70204.0000			MiddleM			0.8642
70204.0000			MiddleL			0.7617
70204.0000			LowH			0.7443
70204.0000			LowM			0.5591
70204.0000			LowL			0.3624
70204.0000			tot			0.5116
72000.0000			HighH			1.0000
72000.0000			HighM			0.9091
72000.0000			HighL			0.8947
72000.0000			MiddleH			0.8929
72000.0000			MiddleM			0.8745
72000.0000			MiddleL			0.7729
72000.0000			LowH			0.7433
72000.0000			LowM			0.5677
72000.0000			LowL			0.3693
72000.0000			tot			0.5177
73800.0000			HighH			1.0000
73800.0000			HighM			1.0000
73800.0000			HighL			0.8500
73800.0000			MiddleH			0.9012
73800.0000			MiddleM			0.8746
73800.0000			MiddleL			0.7802
73800.0000			LowH			0.7495
73800.0000			LowM			0.5773
73800.0000			LowL			0.3748
73800.0000			tot			0.5244
75606.0000			HighH			0.8571
75606.0000			HighM			1.0000
75606.0000			HighL			0.9000
75606.0000			MiddleH			0.9091
75606.0000			MiddleM			0.8772
75606.0000			MiddleL			0.7689
75606.0000			LowH			0.7573
75606.0000			LowM			0.5861
75606.0000			LowL			0.3808
75606.0000			tot			0.5306
77408.0000			HighH			0.8571
77408.0000			HighM			1.0000
77408.0000			HighL			0.8571
77408.0000			MiddleH			0.9111
77408.0000			MiddleM			0.8567
77408.0000			MiddleL			0.7745
77408.0000			LowH			0.7628
77408.0000			LowM			0.5959
77408.0000			LowL			0.3872
77408.0000			tot			0.5370
79203.0000			HighH			1.0000
79203.0000			HighM			0.9167
79203.0000			HighL			0.9048
79203.0000			MiddleH			0.9130
79203.0000			MiddleM			0.8595
79203.0000			MiddleL			0.7866
79203.0000			LowH			0.7695
79203.0000			LowM			0.5997
79203.0000			LowL			0.3922
79203.0000			tot			0.5422
81001.0000			HighH			1.0000
81001.0000			HighM			1.0000
81001.0000			HighL			0.9091
81001.0000			MiddleH			0.8995
81001.0000			MiddleM			0.8562
81001.0000			MiddleL			0.7933
81001.0000			LowH			0.7720
81001.0000			LowM			0.6089
81001.0000			LowL			0.3973
81001.0000			tot			0.5476
82800.0000			HighH			1.0000
82800.0000			HighM			1.0000
82800.0000			HighL			0.9091
82800.0000			MiddleH			0.9171
82800.0000			MiddleM			0.8690
82800.0000			MiddleL			0.7997
82800.0000			LowH			0.7829
82800.0000			LowM			0.6160
82800.0000			LowL			0.4055
82800.0000			tot			0.5561
